name,type,district,population
Chapni,Village,Kapan,112
Darbas,Village,Sisian,556
David Bek,Village,Kapan,796
Ditsmayri,Village,Kapan,165
Dzorastan,Village,Kapan,65
Geghanush,Village,Kapan,253
Geghi,Village,Kapan,172
Getatagh,Village,Sisian,182
Getishen (Chaykend),Village,Kapan,87
Gomaran,Village,Kapan,71
Gorayk,Village,Sisian,435
Gudemnis,Village,Meghri,21
Halidzor,Village,Goris,551
Hartashen,Village,Goris,717
Harzhis,Village,Goris,879
Hatsavan,Village,Sisian,253
Ishkhanasar (Ghzljugh),Village,Sisian,294
Kaghnut,Village,Kapan,105
Kajaran,Village,Kapan,250
Karahunj,Village,Goris,1365
Karashen,Village,Goris,550
Karchevan,Village,Meghri,301
Kashuni,Village,Goris,11
Kavchut,Village,Kapan,88
Khdrants,Village,Kapan,48
Khnatsakh,Village,Goris,998
Khndzoresk,Village,Goris,2070
Khordzor,Village,Kapan,18
Khot,Village,Goris,942
Khoznavar,Village,Goris,396
Kornidzor,Village,Goris,1100
Kuris,Village,Meghri,44
Lehvaz,Village,Meghri,571
Lernadzor,Village,Kapan,866
Lichk,Village,Meghri,161
Lor,Village,Sisian,365
Ltsen,Village,Sisian,76
Musallam,Village,Kapan,57
Mutsk,Village,Sisian,324
Nerkin Hand,Village,Kapan,97
Nerkin Khndzoresk,Village,Goris,276
Nerkin Khotanan,Village,Kapan,65
Norashenik,Village,Kapan,128
Nor Astghaberd,Village,Kapan,57
Noravan,Village,Sisian,485
Nrnadzor (Nyuvadi),Village,Meghri,148
Nzhdeh (Soflu),Village,Sisian,92
Okhtar,Village,Kapan,93
Salvard,Village,Sisian,263
Sarnakunk,Village,Sisian,474
Sevakar,Village,Kapan,104
Shaghat,Village,Sisian,969
Shaki,Village,Sisian,1197
Shamb,Village,Sisian,416
Shenatagh,Village,Sisian,389
Shikahogh,Village,Kapan,229
Shinuhayr,Village,Goris,2661
Shishkert,Village,Kapan,264
Shrvenants,Village,Kapan,76
Shurnukh,Village,Goris,207
Shvanidzor,Village,Meghri,312
Spandaryan,Village,Sisian,371
Srashen,Village,Kapan,90
Svarants,Village,Goris,264
Syunik,Village,Kapan,791
Sznak (Nerkin Gyodaklu),Village,Kapan,194
Tanahat,Village,Sisian,7
Tandzatap,Village,Goris,88
Tandzaver,Village,Kapan,211
Tashtun,Village,Meghri,104
Tasik,Village,Sisian,221
Tatev,Village,Goris,864
Tavrus (Dovrus),Village,Kapan,92
Tegh,Village,Goris,2443
Tkhkut (Maralzami),Village,Meghri,69
Tolors,Village,Sisian,332
Torunik,Village,Sisian,120
Tsav,Village,Kapan,74
Tsghuk,Village,Sisian,422
Tsghuni,Village,Sisian,47
Uyts,Village,Sisian,396
Uzhanis,Village,Kapan,59
Vaghatin,Village,Sisian,593
Vaghatur,Village,Goris,336
Vahravar,Village,Meghri,48
Vanek,Village,Kapan,61
Vardanidzor,Village,Meghri,228
Vardavank (Verin Gyodaklu),Village,Kapan,100
Verin Khotanan,Village,Kapan,203
Verishen,Village,Goris,2264
Vorotan,Village,Goris,309
Vorotan,Village,Sisian,263
Yegheg,Village,Kapan,121
Yeghvard,Village,Kapan,273
Agarakadzor,Village,Eghegnadzor,1301
Aghavnadzor,Village,Eghegnadzor,1890
Aghnjadzor,Village,Eghegnadzor,412
Akhta,Village,Vayk,1
Areni,Village,Eghegnadzor,1772
Arin,Village,Vayk,309
Arpi,Village,Eghegnadzor,1149
Artabuynk,Village,Eghegnadzor,984
Artavan,Village,Vayk,321
Azatek,Village,Vayk,603
Bardzruni,Village,Vayk,361
Chiva,Village,Eghegnadzor,698
Getap,Village,Eghegnadzor,1981
Gladzor,Village,Eghegnadzor,2126
Gndevaz,Village,Vayk,829
Gnishik,Village,Eghegnadzor,44
Goghtanik,Village,Eghegnadzor,190
Gomk,Village,Vayk,138
Herher,Village,Vayk,706
Hermon,Village,Eghegnadzor,180
Horbategh,Village,Eghegnadzor,242
Hors,Village,Eghegnadzor,321
Kapuyt,Village,Vayk,23
Karaglukh,Village,Eghegnadzor,743
Karmrashen,Village,Vayk,252
Kechut,Village,Vayk,944
Khachik,Village,Eghegnadzor,862
Khndzorut,Village,Vayk,500
Malishka,Village,Eghegnadzor,4460
Martiros,Village,Vayk,601
Mozrov,Village,Eghegnadzor,88
Nor Aznaberd,Village,Vayk,126
Por,Village,Vayk,134
Rind,Village,Eghegnadzor,1397
Salli,Village,Eghegnadzor,220
Saravan,Village,Vayk,245
Sers,Village,Vayk,189
Sevazhayr,Village,Eghegnadzor,13
Shatin,Village,Eghegnadzor,1736
Taratumb,Village,Eghegnadzor,448
Ughedzor,Village,Vayk,21
Vardahovit,Village,Eghegnadzor,103
Vernashen,Village,Eghegnadzor,1113
Yeghegis,Village,Eghegnadzor,369
Yelpin,Village,Eghegnadzor,1209
Zaritap,Village,Vayk,1380
Zedea,Village,Vayk,141
